LSOA_code,workplace_density_log,pop_density_log,food_poi_density_log,shop_poi_density_log,night_poi_density_log,theft_rate_log,burglary_rate_log,violence_rate_log,betweenness_rank,intersection_density,imd_score,population
E01000001,2.4469742826990033,0.43737936309808234,1.7303818962306237,1.0169371637783864,2.2311488357819473,-2.653773197998056,-3.8387637876427805,-5.408985312573061,-0.04907292313154226,1.2216072892323755,-1.7049540729751231,-0.9514670360096825
E01000002,2.7753613066074965,-0.3672797804373988,1.6326211155700188,0.45608305741669464,1.9838675654870455,-2.653773197998056,-3.8387637876427805,-5.408985312573061,-0.9747667003856335,0.1459423149429811,-1.849987983047369,-1.2429025652090357
E01000003,1.8584909774401253,1.7061118555371169,1.1083991525306494,1.3196072890096837,1.7946918769162532,-2.653773197998056,-3.8387637876427805,-5.408985312573061,-1.4246018290914368,-0.3714640443251338,0.05069369945873982,-0.5095098598612129
E01000005,2.077387289430423,-0.44768926948326065,2.366484919698296,1.609407126398184,3.221211313802637,-2.653773197998056,-3.8387637876427805,-5.408985312573061,0.29443753878925283,1.8186186805744446,0.8172839512558556,-2.1524376233696545
E01000006,-0.1416919808291878,0.6349261377106059,-0.9486118186152631,-1.1642713888564094,-0.6570200019397111,-0.5316692813017545,-1.744323996866275,-0.3300677752255478,0.6096938934524938,-0.7060209321178036,0.10342212947653086,0.23349061018548975
E01000007,0.7934535631585679,0.8213402910367886,1.256039821713441,0.7567499595951338,1.3668528491039205,1.327035896396739,0.1287384940717043,1.7932328965337623,1.6469170414600898,0.07285801909151043,0.9920621039022399,3.63784190182189
E01000008,0.421250288101541,0.19856461462157243,-0.9486118186152631,0.5335909865133993,-0.6570200019397111,0.41809707763252524,0.09304686749523138,0.8184393141532716,1.6833499692395684,-0.35962167543484475,1.2681181734126332,0.0733611985374935
E01000009,0.6395921597170057,0.7599962916640004,1.663255300251537,1.295991282865313,-0.6570200019397111,0.9277693265340493,0.6377312000847232,1.527726996504876,1.6796323235477846,1.1948528784768233,1.0559753524086533,0.10218449263413282
E01000011,0.29498282173063256,1.1604315983824676,0.8562998882245836,0.9163393469458834,-0.6570200019397111,-0.4432245619175514,-0.9980147203809409,0.8173364961854697,0.3695339817632798,-1.1741137407459656,0.9377358426717886,-0.22768209536073947
E01000012,0.04070670835901279,0.9985788707993061,0.2548328779896413,0.6937941152428628,-0.6570200019397111,-0.3911557851666641,-0.8878203152979605,0.797268118282046,1.2171571994899175,-0.13804254410791106,1.1476662819967003,1.841189903131372
